Does	O
anyone	O
know	O
how	O
to	O
enter	O
the	O
west	B-LOC
wing	I-LOC
of	I-LOC
the	I-LOC
fatui	I-LOC
base	I-LOC

how	O
to	O
enter	O
the	O
blue	B-LOC
amber	I-LOC
lake	I-LOC
cave	I-LOC

how	O
to	O
enter	O
tete	B-LOC
isle	I-LOC

How	O
to	O
enter	O
enkanomiya	B-LOC

I	O
dunno	O
how	O
to	O
enter	O
the	O
Tecoloapan	B-LOC
Bay	I-LOC

How	O
to	O
enter	O
chasm	B-LOC
the	I-LOC
underground	I-LOC
mines	I-LOC

For	O
the	O
love	O
of	O
god	O
does	O
anyone	O
here	O
know	O
how	O
to	O
enter	O
the	O
big	B-LOC
ass	I-LOC
pyramid	I-LOC
in	O
the	O
middle	O
of	O
the	O
desert	O

Do	O
you	O
guys	O
remember	O
how	O
to	O
enter	O
the	O
abandoned	B-LOC
production	I-LOC
zone	I-LOC

I	O
just	O
wanna	O
know	O
how	O
to	O
enter	O
stormterror	B-LOC
lair	I-LOC

help	O
how	O
to	O
enter	O
new	O
sumeru	B-LOC
region	I-LOC
i	O
have	O
no	O
clue	O

Everyone	O
im	O
on	O
archon	O
quest	O
requiem	O
of	O
the	O
echoing	O
depths	O
chapter	O
II	O
act	O
IV	O
and	O
i	O
dont	O
know	O
how	O
or	O
where	O
to	O
enter	O
the	O
chasm	B-LOC

does	O
anyone	O
know	O
how	O
can	O
i	O
get	O
to	O
the	O
top	O
level	O
in	O
mausoleum	B-LOC
of	I-LOC
king	I-LOC
deshret	I-LOC
please  O

also	O
how	O
will	O
we	O
get	O
to	O
inazuma	B-LOC
cuz	O
it's	O
so	O
much	O
water	O

How	O
do	O
u	O
get	O
to	O
nod	B-LOC
krai	I-LOC

yo	O
gng	O
how	O
to	O
get	O
to	O
mondstadt	B-LOC

is	O
the	O
ravens	O
legacy	O
world	O
quest	O
required	O
to	O
complete	O
nod	B-LOC
krai	I-LOC

Can	O
i	O
access	O
and	O
almost	O
fully	O
explore	O
tete	B-LOC
isles	I-LOC
without	O
a	O
quest	O
or	O
is	O
a	O
quest	O
required	O

Is	O
their	O
a	O
required	O
quest	O
to	O
enter	O
sumeru	B-LOC
or	O
can	O
you	O
just	O
rock	O
into	O
it	O

Is	O
there	O
a	O
quest	O
required	O
to	O
access	O
the	O
Colorfall	B-LOC
Cliffs	I-LOC

is	O
the	O
crane	O
returns	O
on	O
the	O
wind	O
quest	O
required	O
to	O
access	O
sumeru	B-LOC

What	O
are	O
the	O
requirements	O
to	O
access	O
Chasm	B-LOC
on	O
release	O
